INDV,PC1,PC2,F_stat,cluster,site
A1283,0.0597244,0.0286796,0.00588,1,UCLA
A1344,0.0296973,-0.0371525,0.0263,1,UCLA
A1345,0.0357274,-0.0224059,0.0038,1,UCSB
A1398,0.0526623,0.0211122,0.03271,1,SMM
A1404,0.0732767,0.168204,-0.02134,1,ANF
A1431,0.0811057,0.166949,-0.02131,1,ANF
A1435,0.0695837,0.110302,-0.01247,1,ANF
A1436,0.0534466,0.0416045,-0.01617,1,OCC
A1437,0.0722806,0.0837763,-0.01936,1,OCC
A1439,0.06153,0.0288622,0.03469,1,OCC
A1440,0.0689018,0.124606,-0.02453,1,ANF
A1442,0.0769005,0.0825978,-0.01294,1,ANF
A1451,-0.0159299,0.0301447,-0.01839,1,UCLA
A1473,-0.357462,0.0207776,0.08309,3,UCSD
A1479,0.0588612,0.0123677,0.02838,1,UCSD
A1487,0.0333836,-0.0301605,-0.01078,1,UCSB
A1489,0.0293089,-0.0206565,-0.0168,1,UCSB
A1494,0.033771,-0.0457426,0.04328,1,UCSB
A1499,0.0566206,-0.308542,0.05732,2,SFSU
A1500,0.0592524,-0.284447,0.01227,2,SFSU
A1502,0.0448843,-0.270914,0.01632,2,SFSU
A1503,0.0526905,-0.466136,0.10966,2,SFSU
A1504,0.0661244,-0.306882,0.01646,2,SFSU
A1505,0.0548572,-0.42188,4.7e-4,2,SFSU
A1510,0.050085,0.0360914,-0.00402,1,UCLA
A1586,0.0583865,0.050296,-0.01844,1,OCC
A1595,0.0795886,0.0525883,-0.02096,1,ANF
A1596,0.0821714,0.102249,-0.01805,1,ANF
A1607,0.0522569,0.0417964,-0.01587,1,UCLA
A1622,0.0567337,0.0316856,0.03659,1,UCLA
A1624,0.0572945,0.0476705,-0.01198,1,UCLA
A1627,0.0599452,0.055051,0.00422,1,OCC
A1652,0.0703461,0.0490092,0.0189,1,OCC
A1701,0.0858229,0.136187,-0.0097,1,ANF
A1703,0.0971905,0.172178,-0.02049,1,ANF
A1723,0.055595,0.0277464,0.03038,1,UCLA
A1725,0.0905235,0.192441,-0.01599,1,ANF
A1728,0.0552668,0.0256974,-0.01066,1,UCLA
A1741,0.0415097,0.0151504,0.00428,1,SMM
A221,-0.340227,0.018271,0.07577,3,UCSD
A24300,-0.367136,0.0110837,0.14426,3,UCSD
A24356,-0.289513,0.00787682,0.03969,3,UCSD
A317,-0.348847,0.0168999,0.08411,3,UCSD
A33471,-0.346171,0.0187891,0.04811,3,UCSD
A33648,-0.374298,0.0191251,0.14909,3,UCSD
A394,0.0902425,0.18228,-0.01766,1,UCLA
A451,0.0172872,-0.0403154,-0.00349,1,UCSB
A560,0.03192,0.0176332,0.11806,1,SMM
A736,0.030003,-0.0243586,-0.00788,1,UCSB
A797,0.0517811,0.0323575,0.023,1,UCLA
